chrnr,x,y,,,,,
101575,707989.93,6138138.43,,,,,
10626,488611.85,6210224.48,,,,,
11033,643530.36,6074627.78,,,,,
111866,648217.22,6123734.52,,,,,
12162,472367.08,6186638.61,,,,,
16212,695119.95,6083884.67,,,,,
18559,514840.78,6171926.91,,,,,
19910,552975.68,6147021.32,,,,,
20610a,531532.73,6156218.12,,,,,
20610b,531532.73,6156218.12,,,,,
21885,521008.62,6207542.59,,,,, 
22037,483136.77,6249798.21,,,,,
22921,510651.67,6215530.44,,,,,
30107,536630,6307416,,,,,
33277,519662.31,6297496.06,,,,,
34983,574833.49,6158305.37,,,,,
45167a,499470,6159045,,,,,
45167b,499470,6159045,,,,,
45194a,496737,6160180,,,,,
45194b,496737,6160180,,,,,
53678,492309.81,6213242.47,,,,,
53907,484034.79,6236152.29,,,,,
54506,450995.9,6261017.05,,,,,
55290,469803,6209588.44,,,,,
55306,468477,6212147.41,,,,,
55572,449870.06,6218119.29,,,,,
55775,471532.87,6241115.23,,,,,
55808,471435,6244383,,,,,
56566,462254.82,6269908.08,,,,,
57610,485713.83,6219253.41,,,,,
58324,462492.88,6252971.14,,,,,
59088,481132.85,6229627.31,,,,,
59246,481289.88,6219326.39,,,,,
61616,563110.75,6116550.98,,,,,
62030,566671.51,6362687.81,,,,,
63889,527862.04,6323564.86,,,,,
65533,504860.51,6289149.08,,,,,
69096,503241.58,6256823.28,,,,,
70179,516114.86,6149344.08,,,,,
71637,484066.05,6163413.86,,,,,
73448,495716.71,6230265.36,,,,,
77202,550461.18,6247725.44,,,,,
80279,477325.86,6232949.29,,,,,
81900,498818.98,6148302.03,,,,,
83989,476707.87,6232581.29,,,,,
91387,481440.85,6224177.36,,,,,
92814,469122.74,6284683.05,,,,,
93442,605056.51,6130604.54,,,,,
93835,681172.94,6174200.31,,,,,
93868,668736.95,6191707.22,,,,,
94739,672620.09,6065484.8,,,,,
94840,662873.17,6066525.82,,,,,
96770,494115.77,6219792.43,,,,,
96793,477877.92,6214910.43,,,,,
96931,470706.01,6205165.47,,,,,
97735,547475.1,6271480.35,,,,,
98360,551859.68,6146587.32,,,,,
98389,462492.88,6252971.14,,,,,
99200,565417.59,6150447.37,,,,,
99406,577744.55,6149464.42,,,,,
